and r1,r1|011001e0
and r1,r2|021001e0
and r1,r3|031001e0
and r1,r4|041001e0
and r1,r5|051001e0
and r1,r6|061001e0
and r1,r7|071001e0
and r1,r8|081001e0
and r2,#0|002002e2
and r2,r0|002002e0
and r2,r1|012002e0
and r2,r2|022002e0
and r2,r3|032002e0
and r2,r4|042002e0
and r2,r5|052002e0
and r2,r6|062002e0
and r2,r7|072002e0
and r2,r8|082002e0
and r3,#0|003003e2
and r3,r0|003003e0
and r3,r1|013003e0
and r3,r2|023003e0
and r3,r3|033003e0
and r3,r4|043003e0
and r3,r5|053003e0
and r3,r6|063003e0
and r3,r7|073003e0
and r3,r8|083003e0
and r4,#0|004004e2
and r4,r0|004004e0
and r4,r1|014004e0
and r4,r2|024004e0
and r4,r3|034004e0
and r4,r4|044004e0
and r4,r5|054004e0
and r4,r6|064004e0
and r4,r7|074004e0
and r4,r8|084004e0
and r5,#0|005005e2
and r5,r0|005005e0
and r5,r1|015005e0
and r5,r2|025005e0
and r5,r3|035005e0
and r5,r4|045005e0
and r5,r5|055005e0
and r5,r6|065005e0
and r5,r7|075005e0
and r5,r8|085005e0
and r6,#0|006006e2
and r6,r0|006006e0
and r6,r1|016006e0
and r6,r2|026006e0
and r6,r3|036006e0
and r6,r4|046006e0
and r6,r5|056006e0
and r6,r6|066006e0
and r6,r7|076006e0
and r6,r8|086006e0
and r7,#0|007007e2
and r7,r0|007007e0
and r7,r1|017007e0
and r7,r2|027007e0
and r7,r3|037007e0
and r7,r4|047007e0
and r7,r5|057007e0
and r7,r6|067007e0
and r7,r7|077007e0
and r7,r8|087007e0
and r8,#0|008008e2
and r8,r0|008008e0
and r8,r1|018008e0
and r8,r2|028008e0
and r8,r3|038008e0
and r8,r4|048008e0
and r8,r5|058008e0
and r8,r6|068008e0
and r8,r7|078008e0
and r8,r8|088008e0
b r0 | feffffea
b r1 | feffffea
b r2 | feffffea
b r3 | feffffea
b r4 | feffffea
b r5 | feffffea
b r6 | feffffea
b r7 | feffffea
b r8 | feffffea
b [r0] | feffffea
b [r1] | feffffea
b [r2] | feffffea
b [r3] | feffffea
b [r4] | feffffea
b [r5] | feffffea
b [r6] | feffffea
b [r7] | feffffea
b [r8] | feffffea
bcc r0 | feffff3a
bcc r1 | feffff3a
bcc r2 | feffff3a
bcc r3 | feffff3a
bcc r4 | feffff3a
bcc r5 | feffff3a
bcc r6 | feffff3a
bcc r7 | feffff3a
bcc r8 | feffff3a
bcc [r0] | feffff3a
bcc [r1] | feffff3a
bcc [r2] | feffff3a
bcc [r3] | feffff3a
bcc [r4] | feffff3a
bcc [r5] | feffff3a
bcc [r6] | feffff3a
bcc [r7] | feffff3a
bcc [r8] | feffff3a
neg r0,r0|000060e2
neg r0,r1|000061e2
neg r0,r2|000062e2
neg r0,r3|000063e2
neg r0,r4|000064e2
neg r0,r5|000065e2
neg r0,r6|000066e2
neg r0,r7|000067e2
neg r0,r8|000068e2
neg r1,r0|001060e2
neg r1,r1|001061e2
neg r1,r2|001062e2
neg r1,r3|001063e2
neg r1,r4|001064e2
neg r1,r5|001065e2
neg r1,r6|001066e2
neg r1,r7|001067e2
neg r1,r8|001068e2
neg r2,r0|002060e2
neg r2,r1|002061e2
neg r2,r2|002062e2
neg r2,r3|002063e2
neg r2,r4|002064e2
neg r2,r5|002065e2
neg r2,r6|002066e2
neg r2,r7|002067e2
neg r2,r8|002068e2
neg r3,r0|003060e2
neg r3,r1|003061e2
neg r3,r2|003062e2
neg r3,r3|003063e2
neg r3,r4|003064e2
neg r3,r5|003065e2
neg r3,r6|003066e2
neg r3,r7|003067e2
neg r3,r8|003068e2
neg r4,r0|004060e2
neg r4,r1|004061e2
neg r4,r2|004062e2
neg r4,r3|004063e2
neg r4,r4|004064e2
neg r4,r5|004065e2
neg r4,r6|004066e2
neg r4,r7|004067e2
neg r4,r8|004068e2
neg r5,r0|005060e2
neg r5,r1|005061e2
neg r5,r2|005062e2
neg r5,r3|005063e2
neg r5,r4|005064e2
neg r5,r5|005065e2
neg r5,r6|005066e2
neg r5,r7|005067e2
neg r5,r8|005068e2
neg r6,r0|006060e2
neg r6,r1|006061e2
neg r6,r2|006062e2
neg r6,r3|006063e2
neg r6,r4|006064e2
neg r6,r5|006065e2
neg r6,r6|006066e2
neg r6,r7|006067e2
neg r6,r8|006068e2
neg r7,r0|007060e2
neg r7,r1|007061e2
neg r7,r2|007062e2
neg r7,r3|007063e2
neg r7,r4|007064e2
neg r7,r5|007065e2
neg r7,r6|007066e2
neg r7,r7|007067e2
neg r7,r8|007068e2
neg r8,r0|008060e2
neg r8,r1|008061e2
neg r8,r2|008062e2
neg r8,r3|008063e2
neg r8,r4|008064e2
neg r8,r5|008065e2
neg r8,r6|008066e2
neg r8,r7|008067e2
neg r8,r8|008068e2
str r0,[r0]|000080e5
str r0,[r1]|000081e5
str r0,[r2]|000082e5
str r0,[r3]|000083e5
str r0,[r4]|000084e5
str r0,[r5]|000085e5
str r0,[r6]|000086e5
str r0,[r7]|000087e5
str r0,[r8]|000088e5
str r1,[r0]|001080e5
str r1,[r1]|001081e5
str r1,[r2]|001082e5
str r1,[r3]|001083e5
str r1,[r4]|001084e5
str r1,[r5]|001085e5
str r1,[r6]|001086e5
str r1,[r7]|001087e5
str r1,[r8]|001088e5
str r2,[r0]|002080e5
str r2,[r1]|002081e5
str r2,[r2]|002082e5
str r2,[r3]|002083e5
str r2,[r4]|002084e5
str r2,[r5]|002085e5
str r2,[r6]|002086e5
str r2,[r7]|002087e5
str r2,[r8]|002088e5
str r3,[r0]|003080e5
str r3,[r1]|003081e5
str r3,[r2]|003082e5
str r3,[r3]|003083e5
str r3,[r4]|003084e5
str r3,[r5]|003085e5
str r3,[r6]|003086e5
str r3,[r7]|003087e5
str r3,[r8]|003088e5
str r4,[r0]|004080e5
str r4,[r1]|004081e5
str r4,[r2]|004082e5
str r4,[r3]|004083e5
str r4,[r4]|004084e5
str r4,[r5]|004085e5
str r4,[r6]|004086e5
str r4,[r7]|004087e5
str r4,[r8]|004088e5
str r5,[r0]|005080e5
str r5,[r1]|005081e5
str r5,[r2]|005082e5
str r5,[r3]|005083e5
str r5,[r4]|005084e5
str r5,[r5]|005085e5
str r5,[r6]|005086e5
str r5,[r7]|005087e5
str r5,[r8]|005088e5
str r6,[r0]|006080e5
str r6,[r1]|006081e5
str r6,[r2]|006082e5
str r6,[r3]|006083e5
str r6,[r4]|006084e5
str r6,[r5]|006085e5
str r6,[r6]|006086e5
str r6,[r7]|006087e5
str r6,[r8]|006088e5
str r7,[r0]|007080e5
str r7,[r1]|007081e5
str r7,[r2]|007082e5
str r7,[r3]|007083e5
str r7,[r4]|007084e5
str r7,[r5]|007085e5
str r7,[r6]|007086e5
str r7,[r7]|007087e5
str r7,[r8]|007088e5
str r8,[r0]|008080e5
str r8,[r1]|008081e5
str r8,[r2]|008082e5
str r8,[r3]|008083e5
str r8,[r4]|008084e5
str r8,[r5]|008085e5
str r8,[r6]|008086e5
str r8,[r7]|008087e5
str r8,[r8]|008088e5
sub r0,#0|000040e2
sub r0,r0|000040e0
sub r0,r1|010040e0
sub r0,r2|020040e0
sub r0,r3|030040e0
sub r0,r4|040040e0
sub r0,r5|050040e0
sub r0,r6|060040e0
sub r0,r7|070040e0
sub r0,r8|080040e0
sub r1,#0|001041e2
sub r1,r0|001041e0
sub r1,r1|011041e0
sub r1,r2|021041e0
sub r1,r3|031041e0
sub r1,r4|041041e0
sub r1,r5|051041e0
sub r1,r6|061041e0
sub r1,r7|071041e0
sub r1,r8|081041e0
sub r2,#0|002042e2
sub r2,r0|002042e0
sub r2,r1|012042e0
sub r2,r2|022042e0
sub r2,r3|032042e0
sub r2,r4|042042e0
sub r2,r5|052042e0
sub r2,r6|062042e0
sub r2,r7|072042e0
sub r2,r8|082042e0
sub r3,#0|003043e2
sub r3,r0|003043e0
sub r3,r1|013043e0
sub r3,r2|023043e0
sub r3,r3|033043e0
sub r3,r4|043043e0
sub r3,r5|053043e0
sub r3,r6|063043e0
sub r3,r7|073043e0
sub r3,r8|083043e0
sub r4,#0|004044e2
sub r4,r0|004044e0
sub r4,r1|014044e0
sub r4,r2|024044e0
sub r4,r3|034044e0
sub r4,r4|044044e0
sub r4,r5|054044e0
sub r4,r6|064044e0
sub r4,r7|074044e0
sub r4,r8|084044e0
sub r5,#0|005045e2
sub r5,r0|005045e0
sub r5,r1|015045e0
sub r5,r2|025045e0
sub r5,r3|035045e0
sub r5,r4|045045e0
sub r5,r5|055045e0
sub r5,r6|065045e0
sub r5,r7|075045e0
sub r5,r8|085045e0
sub r6,#0|006046e2
sub r6,r0|006046e0
sub r6,r1|016046e0
sub r6,r2|026046e0
sub r6,r3|036046e0
sub r6,r4|046046e0
sub r6,r5|056046e0
sub r6,r6|066046e0
sub r6,r7|076046e0
sub r6,r8|086046e0
sub r7,#0|007047e2
sub r7,r0|007047e0
sub r7,r1|017047e0
sub r7,r2|027047e0
sub r7,r3|037047e0
sub r7,r4|047047e0
sub r7,r5|057047e0
sub r7,r6|067047e0
sub r7,r7|077047e0
sub r7,r8|087047e0
sub r8,#0|008048e2
sub r8,r0|008048e0
sub r8,r1|018048e0
sub r8,r2|028048e0
sub r8,r3|038048e0
sub r8,r4|048048e0
sub r8,r5|058048e0
sub r8,r6|068048e0
sub r8,r7|078048e0
sub r8,r8|088048e0
/tmp/out.asm:3: Rd and Rm should be different in mul
900000e0
mul r0,r1|910000e0
mul r0,r2|920000e0
mul r0,r3|930000e0
mul r0,r4|940000e0
mul r0,r5|950000e0
mul r0,r6|960000e0
mul r0,r7|970000e0
mul r0,r8|980000e0
mul r1,r0|900101e0
/tmp/out.asm:3: Rd and Rm should be different in mul
910101e0
mul r1,r2|920101e0
mul r1,r3|930101e0
mul r1,r4|940101e0
mul r1,r5|950101e0
mul r1,r6|960101e0
mul r1,r7|970101e0
mul r1,r8|980101e0
mul r2,r0|900202e0
mul r2,r1|910202e0
/tmp/out.asm:3: Rd and Rm should be different in mul
920202e0
mul r2,r3|930202e0
mul r2,r4|940202e0
mul r2,r5|950202e0
mul r2,r6|960202e0
mul r2,r7|970202e0
mul r2,r8|980202e0
mul r3,r0|900303e0
mul r3,r1|910303e0
mul r3,r2|920303e0
/tmp/out.asm:3: Rd and Rm should be different in mul
930303e0
mul r3,r4|940303e0
mul r3,r5|950303e0
mul r3,r6|960303e0
mul r3,r7|970303e0
mul r3,r8|980303e0
mul r4,r0|900404e0
mul r4,r1|910404e0
mul r4,r2|920404e0
mul r4,r3|930404e0
/tmp/out.asm:3: Rd and Rm should be different in mul
940404e0
mul r4,r5|950404e0
mul r4,r6|960404e0
mul r4,r7|970404e0
mul r4,r8|980404e0
mul r5,r0|900505e0
mul r5,r1|910505e0
mul r5,r2|920505e0
mul r5,r3|930505e0
mul r5,r4|940505e0
/tmp/out.asm:3: Rd and Rm should be different in mul
950505e0
mul r5,r6|960505e0
mul r5,r7|970505e0
mul r5,r8|980505e0
mul r6,r0|900606e0
mul r6,r1|910606e0
mul r6,r2|920606e0
mul r6,r3|930606e0
mul r6,r4|940606e0
mul r6,r5|950606e0
/tmp/out.asm:3: Rd and Rm should be different in mul
960606e0
mul r6,r7|970606e0
mul r6,r8|980606e0
mul r7,r0|900707e0
mul r7,r1|910707e0
mul r7,r2|920707e0
mul r7,r3|930707e0
mul r7,r4|940707e0
mul r7,r5|950707e0
mul r7,r6|960707e0
/tmp/out.asm:3: Rd and Rm should be different in mul
970707e0
mul r7,r8|980707e0
mul r8,r0|900808e0
mul r8,r1|910808e0
mul r8,r2|920808e0
mul r8,r3|930808e0
mul r8,r4|940808e0
mul r8,r5|950808e0
mul r8,r6|960808e0
mul r8,r7|970808e0
/tmp/out.asm:3: Rd and Rm should be different in mul
980808e0
udiv r0,r0|10f030e7
udiv r0,r1|10f130e7
udiv r0,r2|10f230e7
udiv r0,r3|10f330e7
udiv r0,r4|10f430e7
udiv r0,r5|10f530e7
udiv r0,r6|10f630e7
udiv r0,r7|10f730e7
udiv r0,r8|10f830e7
udiv r1,r0|11f031e7
udiv r1,r1|11f131e7
udiv r1,r2|11f231e7
udiv r1,r3|11f331e7
udiv r1,r4|11f431e7
udiv r1,r5|11f531e7
udiv r1,r6|11f631e7
udiv r1,r7|11f731e7
udiv r1,r8|11f831e7
udiv r2,r0|12f032e7
udiv r2,r1|12f132e7
udiv r2,r2|12f232e7
udiv r2,r3|12f332e7
udiv r2,r4|12f432e7
udiv r2,r5|12f532e7
udiv r2,r6|12f632e7
udiv r2,r7|12f732e7
udiv r2,r8|12f832e7
udiv r3,r0|13f033e7
udiv r3,r1|13f133e7
udiv r3,r2|13f233e7
udiv r3,r3|13f333e7
udiv r3,r4|13f433e7
udiv r3,r5|13f533e7
udiv r3,r6|13f633e7
udiv r3,r7|13f733e7
udiv r3,r8|13f833e7
udiv r4,r0|14f034e7
udiv r4,r1|14f134e7
udiv r4,r2|14f234e7
udiv r4,r3|14f334e7
udiv r4,r4|14f434e7
udiv r4,r5|14f534e7
udiv r4,r6|14f634e7
udiv r4,r7|14f734e7
udiv r4,r8|14f834e7
udiv r5,r0|15f035e7
udiv r5,r1|15f135e7
udiv r5,r2|15f235e7
udiv r5,r3|15f335e7
udiv r5,r4|15f435e7
udiv r5,r5|15f535e7
udiv r5,r6|15f635e7
udiv r5,r7|15f735e7
udiv r5,r8|15f835e7
udiv r6,r0|16f036e7
udiv r6,r1|16f136e7
udiv r6,r2|16f236e7
udiv r6,r3|16f336e7
udiv r6,r4|16f436e7
udiv r6,r5|16f536e7
udiv r6,r6|16f636e7
udiv r6,r7|16f736e7
udiv r6,r8|16f836e7
udiv r7,r0|17f037e7
udiv r7,r1|17f137e7
udiv r7,r2|17f237e7
udiv r7,r3|17f337e7
udiv r7,r4|17f437e7
udiv r7,r5|17f537e7
udiv r7,r6|17f637e7
udiv r7,r7|17f737e7
udiv r7,r8|17f837e7
udiv r8,r0|18f038e7
udiv r8,r1|18f138e7
udiv r8,r2|18f238e7
udiv r8,r3|18f338e7
udiv r8,r4|18f438e7
udiv r8,r5|18f538e7
udiv r8,r6|18f638e7
udiv r8,r7|18f738e7
udiv r8,r8|18f838e7
bne r0 | feffff1a
bne r1 | feffff1a
bne r2 | feffff1a
bne r3 | feffff1a
bne r4 | feffff1a
bne r5 | feffff1a
bne r6 | feffff1a
bne r7 | feffff1a
bne r8 | feffff1a
bne [r0] | feffff1a
bne [r1] | feffff1a
bne [r2] | feffff1a
bne [r3] | feffff1a
bne [r4] | feffff1a
bne [r5] | feffff1a
bne [r6] | feffff1a
bne [r7] | feffff1a
bne [r8] | feffff1a
bl r0 | feffffeb
bl r1 | feffffeb
bl r2 | feffffeb
bl r3 | feffffeb
bl r4 | feffffeb
bl r5 | feffffeb
bl r6 | feffffeb
bl r7 | feffffeb
bl r8 | feffffeb
bl [r0] | feffffeb
bl [r1] | feffffeb
bl [r2] | feffffeb
bl [r3] | feffffeb
bl [r4] | feffffeb
bl [r5] | feffffeb
bl [r6] | feffffeb
bl [r7] | feffffeb
bl [r8] | feffffeb
blt r0 | feffffba
blt r1 | feffffba
blt r2 | feffffba
